lesson_key,subject,title,content_length,has_content,gold_standard,h3_count,h4_count,blue_terms
adding-deleting,english,"Topic 2.5 - Adding or Deleting Information",3273,true,true,4,0,6
commas,english,"Topic 1.2 - Essential Comma Rules",4025,true,true,4,0,8
getting-started,english,"ACT Test Basics & Overview",3412,true,true,4,0,6
grammar-review,english,"Topic 1.9 - Grammar Review",3481,true,true,4,0,7
logical-placement,english,"Topic 2.6 - Logical Placement",3276,true,true,4,0,6
misc-topics,english,"Topic 1.8 - Miscellaneous Topics",3705,true,true,4,0,7
modifiers,english,"Topic 1.6 - Misplaced Modifiers",3609,true,true,4,0,7
parallel-structure,english,"Topic 1.7 - Parallel Structure",3547,true,true,4,0,6
pronouns,english,"Topic 1.5 - Pronouns",3772,true,true,4,0,8
punctuation,english,"Topic 1.3 - Advanced Punctuation",3946,true,true,4,0,8
redundancy,english,"Topic 2.1 - Redundancy & Wordiness",3388,true,true,4,0,6
sentence-structure,english,"Topic 1.1 - Building Complete Sentences",4065,true,true,4,0,10
transitions,english,"Topic 2.3 - Transitions",3637,true,true,4,0,7
verbs,english,"Topic 1.4 - Verbs",3815,true,true,4,0,8
which-choice,english,"Topic 2.4 - Which Choice Questions",3298,true,true,4,0,6
word-choice,english,"Topic 2.2 - Word Choice",3217,true,true,4,0,6
absolute-value,math,"Absolute Value",2659,true,true,3,0,3
algebra-skills,math,"Algebra Skills",4083,true,true,4,0,10
arcs-sectors,math,"Arcs and Sectors",4030,true,true,4,0,8
backsolving,math,"Topic 1.1 - Working Backwards Strategy",8462,true,true,6,6,6
circles-ellipses,math,"Circles and Ellipses",4371,true,true,4,0,11
complex-numbers,math,"Complex Numbers",3571,true,true,4,0,8
exponential-growth,math,"Exponential Functions",4103,true,true,4,0,9
exponents-roots,math,"Exponents and Roots",4211,true,true,4,0,11
fractions,math,"Fractions",3750,true,true,4,0,9
functions,math,"Functions",3490,true,true,4,0,7
geometry-angles,math,"Topic 2.1 - Understanding Angles & Lines",7095,true,true,6,1,14
geometry-shapes,math,"Geometry: Shapes & Triangles",5237,true,true,4,0,13
inequalities,math,"Inequalities",3666,true,true,4,0,8
lines,math,"Lines: Slope, Equations & Distance",4885,true,true,4,0,12
logarithms,math,"Logarithms",3096,true,true,4,0,6
matrices,math,"Matrices",3643,true,true,4,0,8
miscellaneous-topics,math,"Miscellaneous Topics",3651,true,true,4,0,8
number-theory,math,"Number Theory",4256,true,true,4,0,10
percentages,math,"Percentages",3648,true,true,4,0,8
permutations-combinations,math,"Permutations and Combinations",3796,true,true,4,0,8
probability,math,"Probability",3939,true,true,4,0,9
quadratics,math,"Quadratic Equations",3587,true,true,4,0,8
ratios-proportions,math,"Ratios and Proportions",3715,true,true,4,0,8
repeating-patterns,math,"Patterns and Sequences",3695,true,true,4,0,8
scientific-notation,math,"Scientific Notation",3706,true,true,4,0,7
sequences,math,"Sequences: Arithmetic & Geometric",4310,true,true,4,0,9
statistics-advanced,math,"Advanced Statistics",3786,true,true,4,0,8
statistics-basics,math,"Statistics Basics",3785,true,true,4,0,9
substitution,math,"Topic 1.2 - Number Substitution Technique",9950,true,true,6,7,1
systems-equations,math,"Systems of Equations",3379,true,true,4,0,7
transforming-functions,math,"Transforming Functions",4109,true,true,4,0,10
trigonometry,math,"Trigonometry",3890,true,true,4,0,9
unit-conversion,math,"Unit Conversion",3662,true,true,4,0,7
vectors,math,"Vectors",3604,true,true,4,0,8
word-problems,math,"Word Problems",3837,true,true,4,0,8
answer-choices,reading,"Topic 2.3 - How to Approach the Answer Choices",2660,true,true,3,0,3
breaking-down-questions,reading,"Topic 2.2 - Breaking Down Questions",2649,true,true,3,0,3
comparing-passages,reading,"Topic 2.6 - Tips for Comparing Passages Questions",2663,true,true,3,0,3
core-principles,reading,"Topic 1.1 - 7 Core Principles for ACT Reading",3592,true,true,4,0,7
correct-vs-incorrect,reading,"Topic 2.4 - Correct vs. Incorrect Answer Choices",2662,true,true,3,0,3
finding-correct-answer,reading,"Topic 1.2 - 3 Strategies for Finding the Correct Answer",3505,true,true,4,0,6
maximizing-score,reading,"Topic 3.2 - 7 Tips to Maximize Your Reading Score",2666,true,true,3,0,3
pacing-time-management,reading,"Topic 1.4 - Pacing and 10 Time Management Skills",3329,true,true,4,0,6
practice-passages,reading,"Topic 3.3 - Practice Passages",2643,true,true,3,0,3
question-types,reading,"Topic 2.1 - How to Spot and Approach the 7 Most Common Types of Questions",2687,true,true,3,0,3
reading-approaches,reading,"Topic 1.3 - How to Approach the Reading Test",3439,true,true,4,0,6
reading-intro,reading,"Reading Section Fundamentals",2645,true,true,3,0,3
words-in-context,reading,"Topic 2.5 - Words in Context Questions",2652,true,true,3,0,3
working-backwards,reading,"Topic 3.1 - Working Backwards",2643,true,true,3,0,3
approximation,science,"Topic 2.3 - Approximation Questions",2729,true,true,3,0,3
cannot-be-determined,science,"Topic 3.2 - Cannot Be Determined",2662,true,true,3,0,3
equations-as-answers,science,"Topic 3.3 - Equations as Answers",2662,true,true,3,0,3
experimental-setup,science,"Topic 4.2 - Experimental Setup",2724,true,true,3,0,3
figures-text,science,"Topic 2.5 - Figures + Text Questions",2730,true,true,3,0,3
inverse-trends-multiple-axes,science,"Topic 2.7 - Inverse Trends and Graphs with Multiple Axes",2686,true,true,3,0,3
math-on-science,science,"Topic 3.5 - Math on the Science Test",2669,true,true,3,0,3
mixing,science,"Topic 3.4 - Mixing",2712,true,true,3,0,3
multiple-figures,science,"Topic 2.4 - Multiple Figures Questions",2732,true,true,3,0,3
passage-approach,science,"Topic 1.1 - How to Approach the Passages",2670,true,true,3,0,3
question-diagnosis,science,"Topic 1.2 - Question Diagnosis",2724,true,true,3,0,3
scatter-plots,science,"Topic 2.6 - Scatter Plots",2719,true,true,3,0,3
science-introduction,science,"Science Section Basics",2655,true,true,3,0,3
specific-data-point,science,"Topic 2.1 - Specific Data Point Questions",2671,true,true,3,0,3
trends,science,"Topic 2.2 - Trends Questions",2722,true,true,3,0,3
two-part-answers,science,"Topic 3.1 - 2-Part Answers",2720,true,true,3,0,3
water-knowledge,science,"Topic 4.1 - Water Knowledge",2721,true,true,3,0,3
